ID,POS,Gloss,Gloss_persian,Checked
93155,adjective,"beyond and outside the ordinary range of human experience or understanding; ""philosophers...often explicitly reject the notion of any transcendent reality beyond thought...and claim to be concerned only with thought itself...""- W.P.Alston; ""the unknowable mysteries of life""","فراتر و خارج از محدوده معمول تجربه یا درک انسان ؛""فیلسوفان ... غالباً صریحاً مفهوم هر واقعیت متعالی فراتر از اندیشه را رد می کنند ... و ادعا می کنند که فقط به فکر خود توجه دارند ..."" - W.P.Alston؛""اسرار زندگی غیر قابل شناخت""",t
93156,adjective,"not known to exist; ""things obscurely felt surged up from unsuspected depths in her""- Edith Wharton","معلوم نیست که وجود داشته باشد؛ ""چیز ها به شکل مبهمی از اعماقی نامشخص در او به جوش و خروش افتادند"" - ادیت وارتون",t
93157,adjective,"not suspected or believed likely; ""remained unsuspected as the head of the spy ring""; ""he was able to get into the building unspotted and unsuspected""; ""unsuspected difficulties arose""; ""unsuspected turnings in the road""","مشکوک نیستید یا احتمالاً باور ندارید""کسی به او به عنوان رییس حلقه جاسوسی شک نکرد""؛""او قادر بود بدون پیدا شدن و مشکوک واقع شدن وارد ساختمان شود""؛""دشواریهای تصور نشده بوجود آمد""؛""چرخش های نامشخص در جاده""",t
93158,noun,a variable whose values are solutions of an equation,متغیری که مقادیر آن راه حل های یک معادله هستند,t
93159,adjective,"unlawfully violating the rights of others; ""wrongful death""; ""a wrongful diversion of trust income""","نقض غیرقانونی حقوق دیگران ؛""قتل غیر عمدی""؛""انحراف غیرقانونی درآمد اعتماد""",t
93160,adjective,"not treated with lead; ""unleaded gasoline""","با سرب درمان نمی شود""بنزین بدون سرب""",t
93161,adjective,"(of gasoline) not containing tetraethyl lead; ""lead-free gasoline""","(بنزین) فاقد تترااتیل سرب ؛""بنزین بدون سرب""",t
93162,adjective,arranged without spaces between,بدون فاصله بین آنها مرتب شده است,t
93163,adjective,"not having an identifying mark; ""unmarked cards""; ""an unmarked police car""","بدون علامت شناسایی""کارتهای بدون علامت""؛""یک ماشین پلیس بی نشان""",t
93164,adjective,"not marked with an asterisk; ""unasterisked items""","بدون نشان ستاره""موارد بی ستاره""",t
93165,adjective,"not taken into account; ""his retirement was not allowed to go unmarked""","در نظر گرفته نشده است؛ ""بازنشستگی او نباید بی امضا میماند""",t
93166,adjective,"not noticed; ""hoped his departure had passed unnoticed""","توجه نشده؛ ""امیدوار بود کسی متوجه رفتنش نشده باشد""",t
93167,adjective,"not lessened or diminished; ""unrelieved suffering""","کاهش یا تقلیل نیافته است؛ ""رنج غیرقابل جبران""",t
93168,adjective,"effected by force or injury rather than natural causes; ""a violent death""","به جای علل طبیعی با زور یا آسیب ایجاد شده است؛ ""یک مرگ خشن""",t
93169,adjective,"not seized and controlled; ""unoccupied areas of France""","توقیف و کنترل نشده؛ ""مناطق اشغال نشده فرانسه""",t
93170,adjective,that has been withdrawn or retreated from,که از آن کناره گیری  یا عقب نشیتی شده است,t
93171,adjective,"not leased to or occupied by a tenant; ""an unoccupied apartment""; ""very little unclaimed and untenanted land""","اجاره داده نشده یا توسط مستاجر اشغال نشده است؛ ""یک آپارتمان خالی از سکنه""؛ ""کمبود بسیار زمین اجاره نشده""",t
93172,adjective,"without official authorization; ""an unauthorized strike""; ""wildcat work stoppage""","بدون مجوز رسمی؛ ""اعتصاب غیر مجاز""؛ ""توقیف اعتصاب خودجوش""",t
93173,adjective,"without explicit official permission; ""unsanctioned use of company cars""","بدون اجازه رسمی صریح؛ ""استفاده غیر مجاز از خودروهای شرکت""",t
93174,adjective,"not officially established; ""the early election returns are unofficial""","رسماً تأسیس نشده؛ ""بازگشت زودرس انتخابات غیررسمی است""",t
93175,adjective,"not finally established or settled; ""an unconfirmed letter of credit""; ""unconfirmed rumors""","تاسیس یا حل و فصل نهایی نشده است؛ ""اعتبار نامه تأیید نشده""؛ ""شایعات تایید نشده""",t
93176,adjective,not organized and maintained as a legal corporation,به عنوان یک شرکت قانونی سازمان یافته و نگهداری نشده است,t
93177,adjective,characterized by attack on established beliefs or institutions,با حمله به اعتقادات یا تاسیسات تثبیت شده مشخص می شود,t
93178,verb,"remove from a box; ""unbox the presents""","از جعبه خارج کنید؛ ""هدایا را باز کنید""",t
93179,verb,"remove from the crate; ""uncrate the glassed carefully!""","از جعبه خارج کنید؛ ""شکستنی را با احتیاط از جعبه خارج کنید!""",t
93180,adjective,"paying nothing; ""non-paying guests""; ""non-paying bidders on eBay""","پرداخت هیچ چیز""مهمانان بدون پرداخت""؛ ""پیشنهاد دهندگان پرداخت نشده در eBay""",t
93181,adjective,done for the public good without compensation,بدون خسارت برای منافع عمومی انجام می شود,t
93182,adjective,"complimentary; without payment of rent; ""with the job came a rent-free apartment""","تعارفی؛بدون پرداخت اجاره؛ ""یک آپارتمان بدون اجاره همراه کار آمد""",t
93183,adjective,"not paying a salary; ""an uncompensated federal post""","پرداخت نکردن حقوق؛ ""یک شغل فدرال بدون پاداش""",t
93184,adjective,"without payment; ""the soup kitchen was run primarily by unpaid helpers""; ""a volunteer fire department""","بدون پرداخت؛ ""آشپزخانه سوپ در درجه اول توسط مددکاران بدون مزد اداره می شد""؛ ""یک آتش نشانی داوطلب""",t
